symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
TWST,Twist Bioscience Corporation,NASDAQ,3476373390.0,56.7,Emily Marine Leproust,1637270120.0
GNW,"Genworth Financial, Inc.",NYSE,3474281336.0,8.97,Thomas Joseph McInerney,3170269999.0
WBS-PF,Webster Financial Corporation,NYSE,3473130845.0,21.07,Luis R. Massiani,14032989340.0
OGN,Organon & Co.,NYSE,3470007615.0,13.33,Joseph T. Morrissey Jr.,10086579150.0
HNGE,"Hinge Health, Inc.",NYSE,3464564948.0,43.99,Daniel A. Perez,3478459214.0
HGTY,"Hagerty, Inc.",NYSE,3453596294.0,10.08,McKeel O. Hagerty,1202357760.0
SYNA,Synaptics Incorporated,NASDAQ,3452180886.0,88.54,Rahul G. Patel,3034554000.0
CPRX,"Catalyst Pharmaceuticals, Inc.",NASDAQ,3451224240.0,28.26,Richard John Daly,2147884812.0
ASO,"Academy Sports and Outdoors, Inc.",NASDAQ,3443444193.0,53.38,Steven Paul Lawrence,5226457120.0
LIF,"Life360, Inc.",NASDAQ,3442962038.0,42.67,Lauren Antonoff,4771019469.0
KFY,Korn Ferry,NYSE,3441671343.0,66.33,Gary D. Burnison,2758948600.0
HWKN,"Hawkins, Inc.",NASDAQ,3439857445.0,164.57,Patrick H. Hawkins,2358195680.0
BMI,"Badger Meter, Inc.",NYSE,3439811162.0,117.86,Kenneth C. Bockhorst,4901370978.0
CVI,"CVR Energy, Inc.",NYSE,3431109344.0,34.13,Mark A. Pytosh,3876720000.0
ARLP,"Alliance Resource Partners, L.P.",NASDAQ,3430043635.0,26.66,Joseph W. Craft,3391204149.0
ASB-PE,Associated Banc-Corp,NYSE,3424702697.0,20.91,Andrew John Harmening,
COLD,"Americold Realty Trust, Inc.",NYSE,3414286800.0,11.985,Nathan H. Harwell,8036592120.0
BOX,"Box, Inc.",NYSE,3414177000.0,24.66,Aaron Levie,4276178250.0
DAVE,Dave Inc.,NASDAQ,3411297035.0,257.27,Jason Wilk,2954063001.0
TMDX,"TransMedics Group, Inc.",NASDAQ,3405017654.0,98.57,Waleed H. Hassanein,4116630382.0
ADEA,Adeia Inc.,NASDAQ,3397497535.0,30.69,Paul E. Davis,2246020250.0
BKU,"BankUnited, Inc.",NYSE,3390321512.0,46.04,Rajinder Singh,5147959797.0
BLLN,"BillionToOne, Inc.",NASDAQ,3390274276.0,73.71,Oguzhan Atay,3361581149.0
CNK,"Cinemark Holdings, Inc.",NYSE,3388439858.0,29.01,Sean Gamble,6125044000.0
